"resp.id","domanda","profilo","n_film","tipo_film","h","qual_stream","qual_cine","prezzo","scelta","professione","sesso","et√."
1,1,1,10,"Commerciali","21-24","FullHD","IMAX",60,0,"Studente","M","22-25"
1,1,2,7,"Indipendenti","15-19","4K","IMAX",60,0,"Studente","M","22-25"
1,1,3,10,"Animazione","21-24","FullHD","3D",80,1,"Studente","M","22-25"
1,2,1,4,"Commerciali","15-19","FullHD","IMAX",80,0,"Studente","M","22-25"
1,2,2,7,"Indipendenti","21-24","4K","3D",40,1,"Studente","M","22-25"
1,2,3,10,"Animazione","9-13","FullHD","Standard",60,0,"Studente","M","22-25"
1,3,1,4,"Animazione","21-24","4K","IMAX",40,0,"Studente","M","22-25"
1,3,2,7,"Animazione","15-19","4K","Standard",40,1,"Studente","M","22-25"
1,3,3,4,"Animazione","15-19","4K","3D",60,0,"Studente","M","22-25"
1,4,1,7,"Indipendenti","15-19","FullHD","IMAX",60,0,"Studente","M","22-25"
1,4,2,7,"Commerciali","21-24","FullHD","Standard",80,0,"Studente","M","22-25"
1,4,3,7,"Indipendenti","21-24","FullHD","3D",40,1,"Studente","M","22-25"
1,5,1,7,"Commerciali","21-24","4K","Standard",80,1,"Studente","M","22-25"
1,5,2,10,"Indipendenti","9-13","FullHD","IMAX",40,0,"Studente","M","22-25"
1,5,3,4,"Commerciali","9-13","FullHD","Standard",40,0,"Studente","M","22-25"
1,6,1,10,"Animazione","21-24","FullHD","3D",80,1,"Studente","M","22-25"
1,6,2,10,"Animazione","9-13","4K","Standard",60,0,"Studente","M","22-25"
1,6,3,7,"Animazione","15-19","FullHD","Standard",40,0,"Studente","M","22-25"
1,7,1,10,"Animazione","9-13","FullHD","Standard",60,0,"Studente","M","22-25"
1,7,2,10,"Commerciali","15-19","FullHD","3D",40,1,"Studente","M","22-25"
1,7,3,10,"Indipendenti","15-19","4K","Standard",80,0,"Studente","M","22-25"
1,8,1,10,"Commerciali","15-19","4K","3D",40,1,"Studente","M","22-25"
1,8,2,4,"Indipendenti","21-24","FullHD","Standard",60,0,"Studente","M","22-25"
1,8,3,7,"Commerciali","9-13","4K","3D",60,0,"Studente","M","22-25"
1,9,1,4,"Commerciali","9-13","FullHD","Standard",40,0,"Studente","M","22-25"
1,9,2,7,"Animazione","9-13","FullHD","IMAX",80,0,"Studente","M","22-25"
1,9,3,7,"Animazione","9-13","4K","IMAX",80,1,"Studente","M","22-25"
2,10,1,10,"Commerciali","21-24","FullHD","IMAX",60,0,"Studente","M","22-25"
2,10,2,7,"Indipendenti","15-19","4K","IMAX",60,0,"Studente","M","22-25"
2,10,3,10,"Animazione","21-24","FullHD","3D",80,1,"Studente","M","22-25"
2,11,1,4,"Commerciali","15-19","FullHD","IMAX",80,0,"Studente","M","22-25"
2,11,2,7,"Indipendenti","21-24","4K","3D",40,0,"Studente","M","22-25"
2,11,3,10,"Animazione","9-13","FullHD","Standard",60,1,"Studente","M","22-25"
2,12,1,4,"Animazione","21-24","4K","IMAX",40,1,"Studente","M","22-25"
2,12,2,7,"Animazione","15-19","4K","Standard",40,0,"Studente","M","22-25"
